"","Education","Marital_Status","Income","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","Kids","Relationship","Family_Size","Family_size","Age","Days_is_client","MntTotal","NumAllPurchases","AverageCheck","ShareDealsPurchases","TotalAcceptedCmp","ActiveDays"
"349","Graduation","Divorced",84835,0,189,104,379,111,189,218,1,4,4,6,1,"False","False","False","False","False","False","True",0,0,0,1,54,729924,1190,14,85,7.1,1,729924
"350","Graduation","Widow",30372,33,15,0,12,7,3,7,3,2,0,3,7,"False","False","False","False","False","False","False",2,0,0,3,53,726454,44,5,8.8,60,0,726421
"351","Master","Married",33181,90,9,0,3,0,0,4,1,1,0,2,6,"True","False","False","False","False","False","False",1,1,0,3,48,734824,16,3,5.3,33.3,1,734734
"352","Graduation","Married",71113,95,495,33,255,11,33,8,4,6,7,9,4,"False","False","False","False","False","False","False",1,1,0,3,67,729376,835,22,38,18.2,0,729281
"353","Graduation","Married",71952,93,656,80,455,52,107,93,2,8,4,8,4,"True","False","True","False","False","False","False",1,1,0,3,38,732267,1443,20,72.2,10,2,732174
"354","PhD","Single",69759,38,452,20,514,13,30,0,3,4,6,5,3,"False","False","False","False","False","False","True",0,0,0,1,58,725419,1029,15,68.6,20,1,725381
"355","Graduation","Married",72099,18,546,91,410,119,0,22,1,3,4,10,1,"False","False","False","False","False","False","False",0,1,0,2,50,725785,1188,17,69.9,5.9,0,725767
"356","PhD","Single",60000,57,1048,0,217,0,0,12,5,11,3,5,6,"False","False","False","False","False","False","False",1,0,0,2,48,727550,1277,19,67.2,26.3,0,727493
"357","Graduation","Single",38643,45,22,2,14,0,1,10,2,2,0,3,7,"False","False","False","False","False","True","False",2,0,0,3,46,725023,49,5,9.8,40,0,724978
"358","Graduation","Married",50737,61,78,0,11,0,0,10,1,2,0,4,6,"False","True","False","False","False","False","False",1,1,0,3,69,731782,99,6,16.5,16.7,1,731721
"359","PhD","Married",68462,6,561,64,785,84,128,48,1,3,3,8,1,"False","False","False","False","False","False","False",0,1,0,2,55,731202,1670,14,119.3,7.1,0,731196
"360","Master","Married",65073,65,629,17,177,69,0,8,1,5,3,5,2,"False","False","False","False","False","True","False",0,1,0,2,81,728402,900,13,69.2,7.7,0,728337
"361","PhD","Together",46681,52,269,15,69,15,19,38,2,4,6,4,5,"False","False","False","False","False","False","False",2,1,0,4,76,732724,425,14,30.4,14.3,0,732672
"362","Graduation","Married",78618,87,736,163,818,212,163,61,1,4,7,10,2,"False","True","False","False","False","False","False",0,1,0,2,67,725449,2153,21,102.5,4.8,1,725362
"363","PhD","Widow",62187,38,512,0,83,0,0,41,3,6,2,10,4,"False","False","False","False","False","False","False",1,0,0,2,55,727825,636,18,35.3,16.7,0,727787
"364","Graduation","Married",28442,53,19,3,10,11,8,6,3,2,1,4,4,"False","False","False","False","False","False","False",2,1,0,4,46,727123,57,7,8.1,42.9,0,727070
"365","PhD","Married",37717,31,9,0,6,4,1,5,1,1,0,2,9,"False","False","False","False","False","False","False",1,1,0,3,46,727215,25,3,8.3,33.3,0,727184
"366","Graduation","Married",51479,67,247,8,160,6,8,65,7,6,3,6,7,"False","False","False","False","False","False","False",2,1,0,4,57,725358,494,15,32.9,46.7,0,725291
"367","Graduation","Single",54803,65,404,0,92,28,27,142,2,6,2,9,4,"False","False","False","False","False","False","False",1,0,0,2,55,728037,693,17,40.8,11.8,0,727972
"368","Graduation","Married",79530,64,333,0,815,129,42,29,1,4,10,11,2,"False","False","False","False","False","False","False",0,1,0,2,64,729590,1348,25,53.9,4,0,729526
"369","Graduation","Divorced",31615,82,2,3,20,6,11,9,2,2,0,3,7,"False","False","False","False","False","False","False",1,0,0,2,48,730016,51,5,10.2,40,0,729934
"370","Graduation","Together",72025,27,833,33,549,151,133,233,1,4,3,8,3,"False","False","False","False","False","False","False",0,1,0,2,62,729406,1932,15,128.8,6.7,0,729379
"371","PhD","Single",52614,63,789,0,142,12,9,38,2,2,4,8,8,"False","False","False","False","False","False","False",1,0,0,2,49,735220,990,14,70.7,14.3,0,735157
"372","2n Cycle","Married",35684,66,10,4,7,0,6,3,1,1,0,3,6,"False","False","False","False","False","False","False",1,1,0,3,40,727794,30,4,7.5,25,0,727728
"373","Graduation","Married",48178,69,159,4,45,6,2,38,6,5,1,4,8,"False","False","False","False","False","False","False",2,1,0,4,49,725419,254,10,25.4,60,0,725350
"374","Master","Single",29548,52,7,1,6,3,1,11,1,1,1,2,4,"True","False","False","False","False","False","False",1,0,0,2,54,725115,29,4,7.2,25,1,725063
"375","Graduation","Single",63810,45,977,12,253,16,12,101,4,4,3,12,8,"False","True","False","False","False","False","False",1,0,0,2,58,731598,1371,19,72.2,21.1,1,731553
"376","PhD","Single",38578,2,38,4,22,3,3,3,3,3,0,3,8,"False","False","False","False","False","False","True",2,0,0,3,52,727733,73,6,12.2,50,1,727731
"377","Master","Single",46098,86,57,0,27,0,0,36,4,3,2,2,8,"False","False","False","False","False","False","False",2,0,0,3,49,729133,120,7,17.1,57.1,0,729047
"378","Graduation","Single",22585,23,3,9,15,13,2,39,1,1,1,2,9,"True","False","False","False","False","False","True",0,0,0,1,54,729286,81,4,20.2,25,2,729263
"379","Graduation","Single",30279,13,10,4,14,4,4,1,1,1,0,3,8,"False","False","False","False","False","False","False",1,0,0,2,35,724628,37,4,9.2,25,0,724615
"380","PhD","Together",66426,14,1043,24,97,32,24,157,2,3,5,10,6,"False","False","False","False","False","False","False",1,1,0,3,63,734916,1377,18,76.5,11.1,0,734902
"381","Graduation","Single",30822,92,3,9,13,2,12,12,1,1,0,3,7,"False","False","False","False","False","False","False",1,0,0,2,55,730655,51,4,12.8,25,0,730563
"382","PhD","Married",33581,38,11,0,5,0,0,1,1,1,0,2,8,"False","False","False","False","False","False","False",2,1,0,4,55,732998,17,3,5.7,33.3,0,732960
"383","Graduation","Married",19986,74,3,6,5,0,2,6,1,0,0,3,7,"False","False","False","False","False","False","False",1,1,0,3,39,730502,22,3,7.3,33.3,0,730428
"384","Graduation","Widow",27421,14,43,12,96,78,40,55,3,4,1,6,7,"False","False","False","False","False","False","False",0,0,0,1,70,731202,324,11,29.5,27.3,0,731188
"385","2n Cycle","Married",35688,94,73,3,90,12,1,32,7,4,1,4,8,"False","False","False","False","False","False","False",3,1,0,5,51,727672,211,9,23.4,77.8,0,727578
"386","Master","Single",36143,33,12,0,1,0,0,6,1,0,1,2,3,"False","False","False","False","False","False","False",1,0,0,2,43,724903,19,3,6.3,33.3,0,724870
"387","Graduation","Single",10245,32,4,7,7,6,4,13,3,1,2,2,5,"False","False","False","False","False","False","False",1,0,0,2,53,730321,41,5,8.2,60,0,730289
"388","Master","Together",43795,11,314,11,53,4,3,107,3,7,3,4,7,"False","True","False","False","False","False","True",1,1,0,3,56,729802,492,14,35.1,21.4,2,729791
"389","Graduation","Together",63381,78,571,50,142,33,50,159,4,4,5,13,2,"False","False","False","False","False","False","False",1,1,0,3,64,733820,1005,22,45.7,18.2,0,733742
"390","Graduation","Together",38823,56,70,0,11,2,8,23,1,2,1,3,6,"False","False","False","False","False","False","False",1,1,0,3,75,724750,114,6,19,16.7,0,724694
"391","PhD","Divorced",83664,57,866,21,151,28,21,86,3,2,2,12,5,"False","False","False","False","False","False","False",2,0,0,3,56,732877,1173,16,73.3,18.8,0,732820
"392","Graduation","Together",90300,7,594,134,786,33,134,57,0,5,6,8,1,"False","False","True","False","False","False","False",0,1,0,2,45,734824,1738,19,91.5,0,1,734817
"393","Master","Together",62499,0,140,4,61,0,13,4,2,3,1,6,4,"False","False","False","False","False","False","False",1,1,0,3,45,732298,222,10,22.2,20,0,732298
"394","Graduation","Single",74293,66,375,152,335,93,91,81,1,5,4,6,2,"False","False","False","False","False","False","False",0,0,0,1,31,734338,1127,15,75.1,6.7,0,734272
"395","PhD","Married",51012,86,102,9,63,2,9,24,1,4,1,4,6,"False","False","False","False","False","False","False",0,1,0,2,78,729255,209,9,23.2,11.1,0,729169
"396","Master","Married",70777,80,554,35,113,0,7,78,3,5,3,12,3,"False","False","False","False","False","False","False",1,1,0,3,56,726757,787,20,39.4,15,0,726677
"397","PhD","Together",68682,56,919,0,505,99,30,45,1,4,9,10,2,"False","False","False","False","False","False","False",0,1,0,2,33,733455,1598,23,69.5,4.3,0,733399
"398","Graduation","Married",43824,18,96,1,42,12,3,32,4,3,1,4,8,"False","False","False","False","False","False","False",2,1,0,4,53,730198,186,8,23.2,50,0,730180
"399","Graduation","Together",15345,51,5,2,16,3,2,19,2,1,1,2,8,"False","False","False","False","False","False","True",1,1,0,3,40,724385,47,4,11.8,50,1,724334
"400","Graduation","Single",23442,71,2,0,6,8,6,5,1,1,0,3,7,"False","False","False","False","False","False","False",1,0,0,2,37,726819,27,4,6.8,25,0,726748
"401","2n Cycle","Together",14515,71,6,4,9,6,36,35,4,2,2,3,7,"False","False","False","False","False","False","True",1,1,0,3,44,732328,96,7,13.7,57.1,1,732257
"402","2n Cycle","Divorced",31395,80,23,1,25,0,8,7,4,2,1,3,6,"False","False","False","False","False","False","False",2,0,0,3,68,727460,64,6,10.7,66.7,0,727380
"403","Graduation","Together",75276,2,610,105,125,137,42,21,1,9,4,9,5,"False","False","False","False","False","False","False",0,1,0,2,59,725815,1040,22,47.3,4.5,0,725813
"404","Graduation","Single",42373,83,67,5,61,3,8,19,5,2,1,5,5,"False","False","False","False","False","False","False",2,0,0,3,50,730229,163,8,20.4,62.5,0,730146
"405","Graduation","Together",30507,29,65,36,74,38,20,110,1,5,1,4,7,"False","False","False","False","False","False","False",0,1,0,2,64,731843,343,10,34.3,10,0,731814
"406","PhD","Single",55521,11,416,0,26,0,0,4,9,6,3,6,7,"False","True","False","False","False","False","True",3,0,0,4,69,727611,446,15,29.7,60,2,727600
"407","Graduation","Married",48006,55,23,0,11,3,2,2,1,1,0,3,6,"False","False","False","False","False","False","False",2,1,0,4,59,732481,41,4,10.2,25,0,732426
"408","PhD","Single",27213,19,19,3,26,10,9,3,3,2,0,4,8,"False","False","False","False","False","False","True",1,0,0,2,52,724750,70,6,11.7,50,1,724731
"409","PhD","Divorced",65808,1,155,7,80,13,7,10,3,5,1,5,6,"False","False","False","False","False","False","False",2,0,0,3,53,724842,272,11,24.7,27.3,0,724841
"410","PhD","Together",30351,19,14,0,24,3,3,2,1,3,0,2,9,"False","False","False","False","False","False","False",1,1,0,3,50,733577,46,5,9.2,20,0,733558
"411","Graduation","Married",50437,28,370,9,92,6,9,4,3,7,1,8,7,"False","False","False","False","False","False","False",2,1,0,4,61,729437,490,16,30.6,18.8,0,729409
"412","2n Cycle","Single",23616,76,4,22,11,3,7,32,2,3,0,3,8,"False","False","False","False","False","False","True",1,0,0,2,42,729406,79,6,13.2,33.3,1,729330
"413","Graduation","Married",53858,50,407,53,221,58,150,26,4,4,3,6,4,"False","False","False","False","False","False","False",1,1,0,3,48,732328,915,13,70.4,30.8,0,732278
"414","PhD","Married",66465,1,1200,0,204,38,29,14,3,11,9,12,6,"False","False","False","True","False","False","False",1,1,0,3,69,724903,1485,32,46.4,9.4,1,724902
"415","Graduation","Single",46923,90,85,44,54,102,78,6,3,5,1,7,7,"False","False","False","False","False","False","False",1,0,0,2,37,727672,369,13,28.4,23.1,0,727582
"416","Graduation","Together",75072,83,583,34,309,0,22,125,2,5,4,8,3,"False","False","False","False","False","False","False",1,1,0,3,62,727519,1073,17,63.1,11.8,0,727436
"417","PhD","Married",75865,73,483,0,591,156,0,12,1,3,5,10,1,"False","False","False","False","False","False","False",0,1,0,2,81,724538,1242,18,69,5.6,0,724465
"418","2n Cycle","Together",19789,24,2,5,9,28,6,28,3,2,1,3,5,"True","False","False","False","False","False","False",1,1,0,3,49,728310,78,6,13,50,1,728286
"419","Graduation","Together",80134,11,966,26,282,52,26,26,1,2,7,11,5,"False","True","True","True","True","False","False",0,1,0,2,30,730775,1378,20,68.9,5,4,730764
"420","Graduation","Single",91065,33,822,114,108,179,137,114,1,7,9,9,3,"False","False","True","True","False","False","True",0,0,0,1,43,727853,1474,25,59,4,3,727820
"421","Master","Married",49505,4,604,0,100,19,0,28,9,10,2,8,8,"False","False","False","False","False","False","False",2,1,0,4,53,734034,751,20,37.5,45,0,734030
"422","PhD","Married",37401,14,19,3,19,3,1,3,2,2,0,3,7,"False","False","False","False","False","False","False",1,1,0,3,51,733608,48,5,9.6,40,0,733594
"423","Graduation","Married",30096,30,5,3,11,12,5,9,1,2,0,3,6,"False","False","False","False","False","False","False",1,1,0,3,41,727764,45,5,9,20,0,727734
"424","Master","Together",18492,75,2,2,2,2,1,1,1,1,0,2,8,"False","False","False","False","False","False","False",1,1,0,3,42,733942,10,3,3.3,33.3,0,733867
"425","Master","Married",82584,26,1076,68,103,29,91,68,1,3,4,8,1,"False","True","True","False","False","False","True",0,1,0,2,50,734307,1435,15,95.7,6.7,3,734281
"426","PhD","Married",93027,77,1285,42,716,55,0,21,0,7,10,5,2,"False","False","True","False","False","False","False",0,1,0,2,83,731081,2119,22,96.3,0,1,731004
"427","Graduation","Married",48686,8,10,0,7,2,0,1,1,1,0,2,8,"False","False","False","False","False","False","False",3,1,0,5,71,734124,20,3,6.7,33.3,0,734116
"428","Graduation","Married",92910,42,551,137,792,179,103,33,1,6,7,13,1,"False","True","True","True","False","False","False",0,1,0,2,38,727063,1795,26,69,3.8,3,727021
"429","Graduation","Married",75433,28,800,0,297,0,34,57,2,2,5,10,6,"False","True","False","True","False","False","False",1,1,0,3,35,734003,1188,17,69.9,11.8,2,733975
"430","2n Cycle","Together",10404,52,2,2,11,10,6,12,2,1,0,4,5,"False","False","False","False","False","False","False",1,1,0,3,35,734338,43,5,8.6,40,0,734286
"431","Graduation","Married",61314,1,378,0,189,97,172,172,2,5,5,12,3,"False","False","False","False","False","False","False",1,1,0,3,56,726698,1008,22,45.8,9.1,0,726697
"432","PhD","Single",84865,1,1248,16,349,43,16,16,1,2,4,9,4,"False","True","True","True","True","False","True",0,0,0,1,63,732512,1688,15,112.5,6.7,5,732511
"433","Graduation","Married",42387,42,235,0,235,19,4,191,5,8,1,7,8,"False","False","False","False","False","False","False",1,1,0,3,35,725054,684,16,42.8,31.2,0,725012
"434","2n Cycle","Together",67309,76,515,47,181,149,95,95,15,9,6,9,7,"False","False","False","False","False","False","False",2,1,0,4,57,727519,1082,24,45.1,62.5,0,727443
"435","Graduation","Married",75236,27,438,66,400,12,38,114,1,8,3,13,4,"False","False","False","False","False","False","False",1,1,0,3,60,726484,1068,24,44.5,4.2,0,726457
"436","Graduation","Single",30015,28,25,0,22,2,3,5,2,1,0,4,5,"False","False","False","False","False","False","False",1,0,0,2,54,735158,57,5,11.4,40,0,735130
"437","Master","Together",50943,49,31,0,7,2,0,6,1,1,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,68,728098,46,4,11.5,25,0,728049
"438","Graduation","Divorced",67272,12,357,35,271,28,28,14,3,6,2,12,5,"False","False","False","False","False","False","False",1,0,0,2,58,727915,733,20,36.6,15,0,727903
"439","Master","Widow",51529,14,400,4,35,6,0,22,2,9,1,5,8,"False","False","False","False","False","False","False",1,0,0,2,75,733120,467,15,31.1,13.3,0,733106
"440","PhD","Married",32011,89,99,0,15,2,1,5,3,2,1,4,7,"False","False","False","False","False","False","False",1,1,0,3,53,727672,122,7,17.4,42.9,0,727583
"441","2n Cycle","Married",7500,96,1,11,5,4,6,9,2,2,0,3,8,"False","False","False","False","False","False","False",1,1,0,3,38,733332,36,5,7.2,40,0,733236
"442","Graduation","Married",28691,56,5,4,13,8,0,4,1,1,0,3,8,"False","False","False","False","False","False","False",1,1,0,3,35,734277,34,4,8.5,25,0,734221
"443","PhD","Married",56223,72,77,28,31,16,0,4,2,2,1,5,4,"False","False","False","False","False","False","False",1,1,0,3,76,728280,156,8,19.5,25,0,728208
"444","Graduation","Married",18100,14,3,1,2,4,3,1,1,0,0,3,5,"False","False","False","False","False","False","False",0,1,0,2,78,733516,14,3,4.7,33.3,0,733502
"445","Graduation","Single",30279,13,10,4,14,4,4,1,1,1,0,3,8,"False","False","False","False","False","False","False",1,0,0,2,35,724628,37,4,9.2,25,0,724615
"446","2n Cycle","Married",20130,99,0,6,3,7,6,12,1,1,0,3,8,"False","False","False","False","False","False","False",0,1,0,2,50,729651,34,4,8.5,25,0,729552
"447","Graduation","Divorced",23295,72,0,0,1,2,12,5,1,1,0,2,8,"False","False","False","False","False","False","False",0,0,0,1,65,730990,20,3,6.7,33.3,0,730918
"448","Master","Divorced",42618,92,76,14,74,13,5,10,2,5,0,4,8,"False","False","False","False","False","False","False",1,0,0,2,52,732359,192,9,21.3,22.2,0,732267
"449","Graduation","Single",81246,87,398,190,537,61,156,37,1,4,5,7,1,"True","False","False","True","False","False","False",0,0,0,1,60,724993,1379,16,86.2,6.2,2,724906
"450","Graduation","Married",24027,7,14,7,11,11,0,5,2,2,0,3,8,"False","False","False","False","False","False","False",1,1,0,3,48,732481,48,5,9.6,40,0,732474
"451","PhD","Married",55707,91,208,7,82,30,66,35,2,3,2,9,3,"False","False","False","False","False","False","False",1,1,0,3,71,727550,428,14,30.6,14.3,0,727459
"452","Graduation","Single",57959,71,430,16,322,43,24,33,5,4,7,11,3,"False","False","False","False","False","False","False",1,0,0,2,69,735069,868,22,39.5,22.7,0,734998
"453","Graduation","Married",56796,24,656,38,161,62,47,37,3,8,9,7,7,"False","False","False","False","False","False","False",1,1,0,3,55,730045,1001,24,41.7,12.5,0,730021
"454","Master","Single",36230,17,14,2,30,8,2,3,1,2,0,4,5,"False","False","False","False","False","False","False",1,0,0,2,53,729437,59,6,9.8,16.7,0,729420
"455","2n Cycle","Married",70829,87,141,70,106,72,19,23,2,4,2,8,3,"False","False","False","False","False","False","False",2,1,0,4,44,735220,431,14,30.8,14.3,0,735133
"456","Graduation","Married",65991,21,507,19,364,25,47,9,3,9,5,10,7,"False","False","False","False","False","False","False",1,1,0,3,48,733120,971,24,40.5,12.5,0,733099
"457","Graduation","Married",38988,90,164,24,103,12,3,42,7,5,1,6,8,"False","False","False","False","False","False","False",3,1,0,5,52,728402,348,12,29,58.3,0,728312
"458","2n Cycle","Single",89572,44,606,24,974,197,194,64,1,7,7,9,4,"False","True","False","True","False","False","True",0,0,0,1,58,730198,2059,23,89.5,4.3,3,730154
"459","Master","Married",42207,71,116,11,72,3,17,46,4,4,1,5,6,"True","False","False","False","False","False","True",1,1,0,3,40,735464,265,10,26.5,40,2,735393
"460","Graduation","Married",50300,52,143,15,60,24,23,5,2,2,1,8,2,"False","False","False","False","False","False","False",1,1,0,3,72,726668,270,11,24.5,18.2,0,726616
"461","2n Cycle","Together",66664,78,398,96,447,220,96,32,1,5,7,6,3,"False","False","False","False","False","False","False",0,1,0,2,42,726545,1289,18,71.6,5.6,0,726467
"462","Graduation","Married",60597,2,522,0,257,32,16,66,4,2,2,8,7,"False","False","False","True","False","False","True",1,1,0,3,60,735554,893,12,74.4,33.3,2,735552
"463","Graduation","Widow",70165,60,161,0,253,199,191,122,1,3,7,11,1,"False","False","False","False","False","False","False",0,0,0,1,75,727641,926,21,44.1,4.8,0,727581
"464","PhD","Widow",50520,25,112,0,6,2,1,14,2,3,1,3,6,"False","False","False","False","False","False","False",1,0,0,2,66,725693,135,7,19.3,28.6,0,725668
"465","Graduation","Married",80124,47,483,84,398,205,84,241,1,3,7,8,1,"True","False","False","False","False","False","False",0,1,0,2,61,726272,1495,18,83.1,5.6,1,726225
"466","Graduation","Married",33183,46,7,5,39,17,15,37,2,4,0,3,7,"False","False","False","False","False","False","False",1,1,0,3,49,727123,120,7,17.1,28.6,0,727077
"467","PhD","Single",66582,83,789,25,420,16,38,0,1,2,8,9,1,"False","False","False","False","False","False","False",0,0,0,1,55,734765,1288,19,67.8,5.3,0,734682
"468","PhD","Together",75261,17,1239,17,413,23,34,17,1,5,6,5,2,"False","True","True","False","False","False","True",0,1,0,2,69,727429,1743,16,108.9,6.2,3,727412
"469","Graduation","Widow",31880,13,4,1,5,2,0,3,1,1,0,2,8,"False","False","False","False","False","False","False",1,0,0,2,54,724324,15,3,5,33.3,0,724311
"470","Graduation","Married",53790,86,335,42,127,28,5,5,3,7,2,8,6,"False","False","False","False","False","False","False",2,1,0,4,73,733669,542,17,31.9,17.6,0,733583
"471","PhD","Together",49269,92,639,8,166,11,8,58,3,7,3,12,7,"False","False","False","False","False","False","False",1,1,0,3,53,730229,890,22,40.5,13.6,0,730137
"472","Graduation","Married",61456,47,563,76,384,84,192,89,4,6,10,13,4,"False","False","False","False","False","False","False",1,1,0,3,49,725999,1388,29,47.9,13.8,0,725952
"473","Graduation","Married",37406,18,2,0,8,2,2,3,1,1,0,2,8,"False","False","False","False","False","False","True",1,1,0,3,44,731994,17,3,5.7,33.3,1,731976
"474","PhD","Together",56937,81,746,8,125,11,8,8,7,8,6,9,6,"False","True","False","False","False","False","True",1,1,0,3,43,734246,906,23,39.4,30.4,2,734165
"475","Graduation","Married",38415,91,22,1,13,4,0,4,2,1,0,3,7,"False","False","False","False","False","False","False",2,1,0,4,46,735189,44,4,11,50,0,735098
"476","Graduation","Single",20518,58,4,1,6,4,1,9,1,1,1,2,5,"False","False","False","False","False","False","False",1,0,0,2,36,729225,25,4,6.2,25,0,729167
"477","Graduation","Married",62503,40,478,0,193,110,75,117,4,8,3,11,5,"False","False","False","False","False","False","False",1,1,0,3,68,729314,973,22,44.2,18.2,0,729274
"478","PhD","Single",41644,67,20,3,4,2,0,2,2,1,0,3,3,"False","False","False","False","False","False","False",2,0,0,3,52,732512,31,4,7.8,50,0,732445
"479","Master","Married",55842,19,451,0,39,0,4,24,1,7,1,8,5,"False","False","False","False","False","False","False",1,1,0,3,47,727399,518,16,32.4,6.2,0,727380
"480","PhD","Married",62010,93,371,22,39,6,0,92,4,6,2,7,5,"False","False","False","False","False","False","False",1,1,0,3,52,727246,530,15,35.3,26.7,0,727153
"481","Graduation","Married",41124,41,281,7,84,15,0,119,7,7,3,4,8,"False","False","False","False","False","False","False",1,1,0,3,47,724324,506,14,36.1,50,0,724283
"482","Master","Married",38961,60,19,7,19,0,1,24,1,2,1,2,7,"False","False","False","False","False","False","False",1,1,0,3,51,724628,70,5,14,20,0,724568
"483","Master","Divorced",37760,54,26,3,13,2,10,0,1,2,0,3,6,"False","False","False","False","False","False","False",1,0,0,2,52,731690,54,5,10.8,20,0,731636
"484","Graduation","Single",32233,26,138,15,35,25,11,72,2,6,2,2,9,"True","False","False","False","False","False","True",1,0,0,2,50,728768,296,10,29.6,20,2,728742
"485","Graduation","Married",43057,30,213,2,44,0,2,5,4,4,2,5,5,"False","False","False","False","False","False","False",1,1,0,3,49,724689,266,11,24.2,36.4,0,724659
"486","Master","Together",83151,93,407,28,100,120,74,18,1,5,9,4,3,"False","False","False","False","False","False","False",0,1,0,2,64,731994,747,18,41.5,5.6,0,731901
"487","PhD","Divorced",78825,35,483,74,114,169,37,18,1,5,10,13,3,"False","False","False","False","False","False","True",0,0,0,1,60,730563,895,28,32,3.6,1,730528
"488","Master","Together",65104,4,738,0,232,13,20,50,2,3,5,7,7,"False","False","False","False","False","False","False",1,1,0,3,48,730502,1053,15,70.2,13.3,0,730498
"489","Graduation","Married",60093,92,502,12,109,16,6,90,2,7,2,10,6,"False","False","False","False","False","False","False",1,1,0,3,50,726272,735,19,38.7,10.5,0,726180
"490","Graduation","Married",14045,24,11,0,5,2,1,1,1,1,0,3,7,"False","False","False","False","False","False","False",1,1,0,3,55,726423,20,4,5,25,0,726399
"491","2n Cycle","Widow",28457,96,24,1,108,29,29,14,1,4,1,4,8,"False","False","False","False","False","False","False",0,0,0,1,72,725419,205,9,22.8,11.1,0,725323
"492","PhD","Together",78952,11,1170,19,594,99,76,134,2,2,5,12,6,"False","False","False","False","False","False","False",1,1,0,3,66,726910,2092,19,110.1,10.5,0,726899
"493","Graduation","Divorced",46310,99,185,2,88,15,5,14,2,6,1,5,8,"False","False","False","False","False","False","False",1,0,0,2,48,734490,309,12,25.8,16.7,0,734391
"494","Graduation","Together",76005,72,983,20,389,240,50,40,1,3,5,13,6,"False","False","False","True","False","False","False",0,1,0,2,69,727853,1722,21,82,4.8,1,727781
"495","Master","Single",58308,77,691,0,69,10,0,130,4,2,6,3,8,"False","False","False","False","False","False","False",1,0,0,2,60,731537,900,11,81.8,36.4,0,731460
"496","PhD","Divorced",55614,85,504,13,131,8,0,26,1,9,4,6,7,"False","True","False","False","False","False","False",0,0,0,1,80,725754,682,19,35.9,5.3,1,725669
"497","Master","Divorced",59432,88,317,25,265,25,19,12,3,5,3,11,5,"False","False","False","False","False","False","False",1,0,0,2,62,731081,663,19,34.9,15.8,0,730993
"498","Graduation","Divorced",55563,22,29,1,9,2,0,2,1,2,0,3,3,"False","False","False","False","False","False","False",1,0,0,2,46,734003,43,5,8.6,20,0,733981
"499","PhD","Together",78642,83,1396,0,322,46,35,17,1,4,9,4,6,"False","False","False","False","False","False","False",1,1,0,3,53,728159,1816,17,106.8,5.9,0,728076
"500","PhD","Together",67911,63,529,0,356,63,28,0,3,6,7,11,3,"False","False","False","False","False","False","False",1,1,0,3,75,727764,976,24,40.7,12.5,0,727701
"501","Graduation","Married",65275,9,388,14,218,91,14,21,1,4,3,13,2,"False","False","False","False","False","False","False",0,1,0,2,80,734734,746,20,37.3,5,0,734725
"502","Graduation","Together",27203,92,13,2,21,4,0,24,2,1,1,2,8,"False","False","False","False","False","False","False",2,1,0,4,74,733516,64,4,16,50,0,733424
"503","Master","Together",48330,2,28,0,4,0,0,0,1,1,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,63,730137,32,4,8,25,0,730135
"504","Basic","Married",24279,6,16,36,21,20,62,108,1,4,1,3,8,"False","False","False","False","False","False","False",0,1,0,2,34,724993,263,8,32.9,12.5,0,724987
"505","PhD","Married",64355,66,1047,0,140,67,38,153,2,4,3,12,8,"False","False","False","False","False","False","False",1,1,0,3,39,726941,1445,19,76.1,10.5,0,726875
"506","Master","Together",50943,49,31,0,7,2,0,6,1,1,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,68,728098,46,4,11.5,25,0,728049
"507","Graduation","Widow",53653,29,815,10,239,28,10,108,2,10,4,12,6,"False","False","False","False","False","False","False",0,0,0,1,71,733059,1210,26,46.5,7.7,0,733030
"508","Graduation","Married",65665,77,225,162,387,106,36,29,1,5,10,8,3,"False","False","False","False","False","False","False",1,1,0,3,48,734855,945,23,41.1,4.3,0,734778
"509","Graduation","Single",81217,77,493,70,324,146,40,84,1,3,7,11,1,"False","False","False","False","False","False","False",0,0,0,1,35,728799,1157,21,55.1,4.8,0,728722
"510","Graduation","Married",34935,71,34,4,66,3,10,20,1,2,1,4,7,"False","False","False","False","False","False","False",0,1,0,2,32,728098,137,7,19.6,14.3,0,728027
"511","Graduation","Divorced",61250,49,382,138,65,60,26,59,6,5,2,12,5,"False","False","False","False","False","False","False",1,0,0,2,65,729741,730,19,38.4,31.6,0,729692
"512","PhD","Together",39665,97,127,1,56,0,1,31,3,4,2,3,7,"True","False","False","False","False","False","False",1,1,0,3,43,726668,216,9,24,33.3,1,726571
"513","Graduation","Single",60152,6,325,83,300,86,58,91,1,6,4,12,3,"False","False","False","False","False","False","False",1,0,0,2,45,725633,943,22,42.9,4.5,0,725627
"514","Graduation","Married",48920,93,238,17,68,8,10,6,3,6,2,5,7,"False","True","False","False","False","False","False",2,1,0,4,60,728341,347,13,26.7,23.1,1,728248
"515","Master","Together",89120,78,1168,92,408,72,129,55,1,5,6,7,1,"False","False","True","False","False","False","False",0,1,0,2,65,729651,1924,18,106.9,5.6,1,729573
