"","Education","Marital_Status","Income","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","...30","Kids","Relationship","Family_Size","Family_size","Age","Days_is_client","MntTotal","NumAllPurchases","AverageCheck","ShareDealsPurchases","TotalAcceptedCmp","ActiveDays"
"410","Graduation","Married",50437,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,NA,2,1,0,4,61,729437,490,16,30.6,18.8,0,729409
"411","2n Cycle","Single",23616,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,1,NA,1,0,0,2,42,729406,79,6,13.2,33.3,1,729330
"412","Graduation","Married",53858,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0,NA,1,1,0,3,48,732328,915,13,70.4,30.8,0,732278
"413","PhD","Married",66465,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,NA,1,1,0,3,69,724903,1485,32,46.4,9.4,1,724902
"414","Graduation","Single",46923,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,0,NA,1,0,0,2,37,727672,369,13,28.4,23.1,0,727582
"415","Graduation","Together",75072,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0,NA,1,1,0,3,62,727519,1073,17,63.1,11.8,0,727436
"416","PhD","Married",75865,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,0,NA,0,1,0,2,81,724538,1242,18,69,5.6,0,724465
"417","2n Cycle","Together",19789,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,0,NA,1,1,0,3,49,728310,78,6,13,50,1,728286
"418","Graduation","Together",80134,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,0,NA,0,1,0,2,30,730775,1378,20,68.9,5,4,730764
"419","Graduation","Single",91065,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,0,1,NA,0,0,0,1,43,727853,1474,25,59,4,3,727820
"420","Master","Married",49505,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,NA,2,1,0,4,53,734034,751,20,37.5,45,0,734030
"421","PhD","Married",37401,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,NA,1,1,0,3,51,733608,48,5,9.6,40,0,733594
"422","Graduation","Married",30096,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,NA,1,1,0,3,41,727764,45,5,9,20,0,727734
"423","Master","Together",18492,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0,NA,1,1,0,3,42,733942,10,3,3.3,33.3,0,733867
"424","Master","Married",82584,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,NA,0,1,0,2,50,734307,1435,15,95.7,6.7,3,734281
"425","PhD","Married",93027,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,0,0,NA,0,1,0,2,83,731081,2119,22,96.3,0,1,731004
"426","Graduation","Married",48686,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,NA,3,1,0,5,71,734124,20,3,6.7,33.3,0,734116
"427","Graduation","Married",92910,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,0,NA,0,1,0,2,38,727063,1795,26,69,3.8,3,727021
"428","Graduation","Married",75433,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,NA,1,1,0,3,35,734003,1188,17,69.9,11.8,2,733975
"429","2n Cycle","Together",10404,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,0,NA,1,1,0,3,35,734338,43,5,8.6,40,0,734286
"430","Graduation","Married",61314,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,NA,1,1,0,3,56,726698,1008,22,45.8,9.1,0,726697
"431","PhD","Single",84865,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,1,NA,0,0,0,1,63,732512,1688,15,112.5,6.7,5,732511
"432","Graduation","Married",42387,42,235,0,235,19,4,191,5,8,1,7,8,0,0,0,0,0,0,0,NA,1,1,0,3,35,725054,684,16,42.8,31.2,0,725012
"433","2n Cycle","Together",67309,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,0,NA,2,1,0,4,57,727519,1082,24,45.1,62.5,0,727443
"434","Graduation","Married",75236,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,NA,1,1,0,3,60,726484,1068,24,44.5,4.2,0,726457
"435","Graduation","Single",30015,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,NA,1,0,0,2,54,735158,57,5,11.4,40,0,735130
"436","Master","Together",50943,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,NA,1,1,0,3,68,728098,46,4,11.5,25,0,728049
"437","Graduation","Divorced",67272,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,0,NA,1,0,0,2,58,727915,733,20,36.6,15,0,727903
"438","Master","Widow",51529,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0,NA,1,0,0,2,75,733120,467,15,31.1,13.3,0,733106
"439","PhD","Married",32011,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,0,NA,1,1,0,3,53,727672,122,7,17.4,42.9,0,727583
"440","2n Cycle","Married",7500,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,0,NA,1,1,0,3,38,733332,36,5,7.2,40,0,733236
"441","Graduation","Married",28691,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,NA,1,1,0,3,35,734277,34,4,8.5,25,0,734221
"442","PhD","Married",56223,72,77,28,31,16,0,4,2,2,1,5,4,0,0,0,0,0,0,0,NA,1,1,0,3,76,728280,156,8,19.5,25,0,728208
"443","Graduation","Married",18100,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0,NA,0,1,0,2,78,733516,14,3,4.7,33.3,0,733502
"444","Graduation","Single",30279,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,NA,1,0,0,2,35,724628,37,4,9.2,25,0,724615
"445","2n Cycle","Married",20130,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,NA,0,1,0,2,50,729651,34,4,8.5,25,0,729552
"446","Graduation","Divorced",23295,72,0,0,1,2,12,5,1,1,0,2,8,0,0,0,0,0,0,0,NA,0,0,0,1,65,730990,20,3,6.7,33.3,0,730918
"447","Master","Divorced",42618,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,0,NA,1,0,0,2,52,732359,192,9,21.3,22.2,0,732267
"448","Graduation","Single",81246,87,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,0,NA,0,0,0,1,60,724993,1379,16,86.2,6.2,2,724906
"449","Graduation","Married",24027,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,NA,1,1,0,3,48,732481,48,5,9.6,40,0,732474
"450","PhD","Married",55707,91,208,7,82,30,66,35,2,3,2,9,3,0,0,0,0,0,0,0,NA,1,1,0,3,71,727550,428,14,30.6,14.3,0,727459
"451","Graduation","Single",57959,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0,NA,1,0,0,2,69,735069,868,22,39.5,22.7,0,734998
"452","Graduation","Married",56796,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,NA,1,1,0,3,55,730045,1001,24,41.7,12.5,0,730021
"453","Master","Single",36230,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,0,0,NA,1,0,0,2,53,729437,59,6,9.8,16.7,0,729420
"454","2n Cycle","Married",70829,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0,NA,2,1,0,4,44,735220,431,14,30.8,14.3,0,735133
"455","Graduation","Married",65991,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0,NA,1,1,0,3,48,733120,971,24,40.5,12.5,0,733099
"456","Graduation","Married",38988,90,164,24,103,12,3,42,7,5,1,6,8,0,0,0,0,0,0,0,NA,3,1,0,5,52,728402,348,12,29,58.3,0,728312
"457","2n Cycle","Single",89572,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,0,1,NA,0,0,0,1,58,730198,2059,23,89.5,4.3,3,730154
"458","Master","Married",42207,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,1,NA,1,1,0,3,40,735464,265,10,26.5,40,2,735393
"459","Graduation","Married",50300,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,0,NA,1,1,0,3,72,726668,270,11,24.5,18.2,0,726616
"460","2n Cycle","Together",66664,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,0,NA,0,1,0,2,42,726545,1289,18,71.6,5.6,0,726467
"461","Graduation","Married",60597,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,1,NA,1,1,0,3,60,735554,893,12,74.4,33.3,2,735552
"462","Graduation","Widow",70165,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,0,NA,0,0,0,1,75,727641,926,21,44.1,4.8,0,727581
"463","PhD","Widow",50520,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0,NA,1,0,0,2,66,725693,135,7,19.3,28.6,0,725668
"464","Graduation","Married",80124,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,NA,0,1,0,2,61,726272,1495,18,83.1,5.6,1,726225
"465","Graduation","Married",33183,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0,NA,1,1,0,3,49,727123,120,7,17.1,28.6,0,727077
"466","PhD","Single",66582,83,789,25,420,16,38,0,1,2,8,9,1,0,0,0,0,0,0,0,NA,0,0,0,1,55,734765,1288,19,67.8,5.3,0,734682
"467","PhD","Together",75261,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,1,0,0,0,1,NA,0,1,0,2,69,727429,1743,16,108.9,6.2,3,727412
"468","Graduation","Widow",31880,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,0,NA,1,0,0,2,54,724324,15,3,5,33.3,0,724311
"469","Graduation","Married",53790,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0,NA,2,1,0,4,73,733669,542,17,31.9,17.6,0,733583
"470","PhD","Together",49269,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,0,NA,1,1,0,3,53,730229,890,22,40.5,13.6,0,730137
"471","Graduation","Married",61456,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0,NA,1,1,0,3,49,725999,1388,29,47.9,13.8,0,725952
"472","Graduation","Married",37406,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,1,NA,1,1,0,3,44,731994,17,3,5.7,33.3,1,731976
"473","PhD","Together",56937,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,1,NA,1,1,0,3,43,734246,906,23,39.4,30.4,2,734165
"474","Graduation","Married",38415,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,0,NA,2,1,0,4,46,735189,44,4,11,50,0,735098
"475","Graduation","Single",20518,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0,NA,1,0,0,2,36,729225,25,4,6.2,25,0,729167
"476","Graduation","Married",62503,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,NA,1,1,0,3,68,729314,973,22,44.2,18.2,0,729274
"477","PhD","Single",41644,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,0,NA,2,0,0,3,52,732512,31,4,7.8,50,0,732445
"478","Master","Married",55842,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0,NA,1,1,0,3,47,727399,518,16,32.4,6.2,0,727380
"479","PhD","Married",62010,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,0,NA,1,1,0,3,52,727246,530,15,35.3,26.7,0,727153
"480","Graduation","Married",41124,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,0,NA,1,1,0,3,47,724324,506,14,36.1,50,0,724283
"481","Master","Married",38961,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,0,NA,1,1,0,3,51,724628,70,5,14,20,0,724568
"482","Master","Divorced",37760,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0,NA,1,0,0,2,52,731690,54,5,10.8,20,0,731636
"483","Graduation","Single",32233,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,1,NA,1,0,0,2,50,728768,296,10,29.6,20,2,728742
"484","Graduation","Married",43057,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,NA,1,1,0,3,49,724689,266,11,24.2,36.4,0,724659
"485","Master","Together",83151,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,NA,0,1,0,2,64,731994,747,18,41.5,5.6,0,731901
"486","PhD","Divorced",78825,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1,NA,0,0,0,1,60,730563,895,28,32,3.6,1,730528
"487","Master","Together",65104,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,NA,1,1,0,3,48,730502,1053,15,70.2,13.3,0,730498
"488","Graduation","Married",60093,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,NA,1,1,0,3,50,726272,735,19,38.7,10.5,0,726180
"489","Graduation","Married",14045,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,NA,1,1,0,3,55,726423,20,4,5,25,0,726399
"490","2n Cycle","Widow",28457,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,NA,0,0,0,1,72,725419,205,9,22.8,11.1,0,725323
"491","PhD","Together",78952,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,NA,1,1,0,3,66,726910,2092,19,110.1,10.5,0,726899
"492","Graduation","Divorced",46310,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,NA,1,0,0,2,48,734490,309,12,25.8,16.7,0,734391
"493","Graduation","Together",76005,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,0,NA,0,1,0,2,69,727853,1722,21,82,4.8,1,727781
"494","Master","Single",58308,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,NA,1,0,0,2,60,731537,900,11,81.8,36.4,0,731460
"495","PhD","Divorced",55614,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,NA,0,0,0,1,80,725754,682,19,35.9,5.3,1,725669
"496","Master","Divorced",59432,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0,NA,1,0,0,2,62,731081,663,19,34.9,15.8,0,730993
"497","Graduation","Divorced",55563,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,NA,1,0,0,2,46,734003,43,5,8.6,20,0,733981
"498","PhD","Together",78642,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,NA,1,1,0,3,53,728159,1816,17,106.8,5.9,0,728076
"499","PhD","Together",67911,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,NA,1,1,0,3,75,727764,976,24,40.7,12.5,0,727701
"500","Graduation","Married",65275,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,NA,0,1,0,2,80,734734,746,20,37.3,5,0,734725
"501","Graduation","Together",27203,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,0,NA,2,1,0,4,74,733516,64,4,16,50,0,733424
"502","Master","Together",48330,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,NA,1,1,0,3,63,730137,32,4,8,25,0,730135
"503","Basic","Married",24279,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,NA,0,1,0,2,34,724993,263,8,32.9,12.5,0,724987
"504","PhD","Married",64355,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,NA,1,1,0,3,39,726941,1445,19,76.1,10.5,0,726875
"505","Master","Together",50943,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,NA,1,1,0,3,68,728098,46,4,11.5,25,0,728049
"506","Graduation","Widow",53653,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,NA,0,0,0,1,71,733059,1210,26,46.5,7.7,0,733030
"507","Graduation","Married",65665,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,NA,1,1,0,3,48,734855,945,23,41.1,4.3,0,734778
"508","Graduation","Single",81217,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,NA,0,0,0,1,35,728799,1157,21,55.1,4.8,0,728722
"509","Graduation","Married",34935,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,NA,0,1,0,2,32,728098,137,7,19.6,14.3,0,728027
"510","Graduation","Divorced",61250,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,NA,1,0,0,2,65,729741,730,19,38.4,31.6,0,729692
"511","PhD","Together",39665,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,NA,1,1,0,3,43,726668,216,9,24,33.3,1,726571
"512","Graduation","Single",60152,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,NA,1,0,0,2,45,725633,943,22,42.9,4.5,0,725627
"513","Graduation","Married",48920,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,NA,2,1,0,4,60,728341,347,13,26.7,23.1,1,728248
"514","Master","Together",89120,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,NA,0,1,0,2,65,729651,1924,18,106.9,5.6,1,729573
"515","PhD","Together",44124,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,NA,1,1,0,3,78,731782,397,13,30.5,30.8,0,731720
"516","Master","Single",81169,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,NA,0,0,0,1,49,730716,2089,21,99.5,4.8,0,730669
"517","Graduation","Married",36443,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,NA,2,1,0,4,63,734793,138,7,19.7,57.1,0,734784
"518","Graduation","Single",26095,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,NA,1,0,0,2,34,724811,42,4,10.5,25,0,724734
"519","Graduation","Together",71367,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,NA,0,1,0,2,65,727307,777,16,48.6,6.2,0,727283
"520","Master","Married",80184,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,NA,0,1,0,2,80,735495,1902,19,100.1,5.3,2,735476
"521","Graduation","Divorced",30630,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,NA,2,0,0,3,59,726058,52,5,10.4,40,0,725991
"522","Master","Single",73454,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,NA,0,0,0,1,37,735495,1651,12,137.6,8.3,1,735400
"523","Graduation","Married",42691,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,NA,0,1,0,2,33,729863,358,12,29.8,8.3,0,729815
"524","Graduation","Married",70503,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,NA,0,1,0,2,71,724719,1727,15,115.1,6.7,2,724646
"525","Graduation","Married",25545,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,NA,1,1,0,3,37,732754,210,7,30,42.9,1,732719
"526","Graduation","Married",32880,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,NA,1,1,0,3,38,734124,42,4,10.5,25,0,734048
"527","PhD","Together",77863,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,NA,0,1,0,2,66,725754,1291,19,67.9,5.3,0,725734
"528","Master","Married",50353,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,NA,0,1,0,2,47,732846,442,14,31.6,7.1,0,732774
"529","Graduation","Single",61839,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,NA,0,0,0,1,60,731324,1895,16,118.4,6.2,0,731304
"530","PhD","Married",49154,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,NA,2,1,0,4,64,734520,411,13,31.6,46.2,0,734451
"531","2n Cycle","Widow",47682,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,NA,1,0,0,2,49,730410,521,15,34.7,26.7,0,730330
"532","Graduation","Single",72679,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,NA,1,0,0,2,55,729102,1168,16,73,6.2,0,729037
"533","Master","Together",57954,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,NA,2,1,0,4,47,729194,493,16,30.8,43.8,1,729142
"534","Graduation","Married",65316,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,NA,2,1,0,4,62,727063,260,10,26,20,0,726998
"535","Graduation","Single",28567,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,NA,1,0,0,2,42,729559,46,5,9.2,40,0,729502
"536","Master","Together",47352,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,NA,1,1,0,3,73,731812,319,12,26.6,33.3,0,731742
"537","Graduation","Together",44931,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,NA,1,1,0,3,57,729345,96,6,16,16.7,0,729345
"538","Graduation","Divorced",76982,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,NA,0,0,0,1,57,730410,1062,15,70.8,6.7,2,730391
"539","2n Cycle","Together",57247,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,NA,1,1,0,3,72,732785,232,10,23.2,20,0,732735
"540","Master","Single",22944,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,NA,1,0,0,2,43,727185,76,6,12.7,50,0,727118
"541","2n Cycle","Together",25315,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,NA,1,1,0,3,47,733059,54,6,9,50,0,733013
"542","Graduation","Widow",43638,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,NA,1,0,0,2,55,733516,201,9,22.3,22.2,0,733479
"543","PhD","Single",42710,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,NA,1,0,0,2,40,725388,406,12,33.8,16.7,0,725350
"544","PhD","Married",84169,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,NA,0,1,0,2,42,733151,1919,19,101,5.3,3,733142
"545","Graduation","Together",54058,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,NA,1,1,0,3,48,734307,662,18,36.8,11.1,0,734251
"546","2n Cycle","Married",24683,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,NA,1,1,0,3,34,732938,41,6,6.8,33.3,0,732840
"547","Graduation","Widow",85620,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,NA,0,0,0,1,60,733363,1600,13,123.1,7.7,1,733295
"548","Graduation","Married",47850,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,NA,1,1,0,3,44,734490,134,7,19.1,14.3,0,734418
"549","Graduation","Married",19514,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,NA,2,1,0,4,56,726423,69,6,11.5,66.7,2,726376
"550","Master","Married",27159,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,NA,2,1,0,4,51,725268,21,4,5.2,50,0,725235
"551","2n Cycle","Single",39548,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,NA,2,0,0,3,61,724538,54,5,10.8,40,0,724451
"552","Graduation","Single",21474,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,NA,1,0,0,2,35,732907,91,6,15.2,33.3,2,732907
"553","PhD","Single",60504,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,NA,1,0,0,2,53,733332,526,16,32.9,12.5,0,733259
"554","Graduation","Married",22419,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,NA,0,1,0,2,61,729255,162,7,23.1,14.3,0,729181
"555","Master","Married",81698,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,NA,0,1,0,2,75,733424,1008,24,42,4.2,1,733420
"556","Graduation","Together",43462,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,NA,2,1,0,4,72,731293,240,10,24,60,0,731243
"557","PhD","Single",54880,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,NA,1,0,0,2,46,735495,795,19,41.8,10.5,0,735438
"558","Graduation","Married",79908,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,NA,0,1,0,2,42,734003,1772,18,98.4,5.6,1,733973
"559","2n Cycle","Married",15315,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,NA,0,1,0,2,54,734612,64,6,10.7,33.3,0,734585
"560","Graduation","Together",87771,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,NA,1,1,0,3,65,727764,1957,19,103,5.3,5,727703
"561","Graduation","Married",33039,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,NA,1,1,0,3,46,732389,78,6,13,16.7,0,732385
"562","Graduation","Single",81741,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,NA,0,0,0,1,44,729924,1572,19,82.7,0,0,729849
"563","Master","Together",71499,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,NA,1,1,0,3,53,726637,795,24,33.1,8.3,0,726625
"564","2n Cycle","Married",62466,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,NA,1,1,0,3,54,730441,889,21,42.3,23.8,0,730428
"565","PhD","Divorced",48799,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,NA,1,0,0,2,61,733789,331,12,27.6,25,0,733780
"566","PhD","Together",52157,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,NA,1,1,0,3,74,733212,265,10,26.5,20,0,733164
"567","Graduation","Single",66565,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,NA,1,0,0,2,62,733759,1065,15,71,26.7,0,733679
"568","Master","Together",29298,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,NA,2,1,0,4,73,733120,11,3,3.7,33.3,0,733060
"569","Graduation","Single",47691,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,NA,1,0,0,2,45,733912,21,3,7,33.3,0,733869
"570","Graduation","Together",38200,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,NA,2,1,0,4,54,733029,17,3,5.7,33.3,0,733010
"571","Graduation","Married",44989,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,NA,1,1,0,3,50,731293,369,11,33.5,45.5,0,731267
